ISO3,Country,hdicode,region,hdi_rank_2021,gnipc_1990,gnipc_1991,gnipc_1992,gnipc_1993,gnipc_1994,gnipc_1995,gnipc_1996,gnipc_1997,gnipc_1998,gnipc_1999,gnipc_2000,gnipc_2001,gnipc_2002,gnipc_2003,gnipc_2004,gnipc_2005,gnipc_2006,gnipc_2007,gnipc_2008,gnipc_2009,gnipc_2010,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021
PSE,"Palestine, State of",High,AS,106,4206.261545,3836.020991,4585.072095,4838.633802,4458.782222,4591.310989,4402.741696,4883.846111,5616.567896,5925.449085,5051.975684,4310.238278,3620.600302,4023.396911,4706.169254,5185.337632,5045.582009,5164.698181,5397.43905,5583.260203,5735.492491,6183.913701,6438.215213,6653.213036,6611.061292,6807.370011,7258.742133,7246.81197,7389.351884,7355.601356,6279.654753,6582.899416
QAT,Qatar,Very High,AS,42,59812.01574,57427.10285,62901.16988,61314.4608,61502.20274,62192.65195,61496.84028,78209.9189,84233.04314,84779.85835,87253.93628,85546.3434,87422.61047,87792.11039,89618.7176,78649.06596,91144.48033,90330.59796,89618.73955,83622.77418,86331.42965,91383.97812,90093.22967,90598.69022,91347.51852,93931.58322,94985.79979,91499.86316,89089.21103,87791.91612,83720.69503,87134.13469
ROU,Romania,Very High,,53,13289.95661,11711.86444,10746.64888,10906.93426,11361.39657,12071.13964,12559.32363,11975.33227,11722.06464,11692.61437,12061.0788,12876.90213,13803.58871,14043.53532,15300.34332,16308.55395,17631.43917,18782.19739,21553.0856,20747.37719,20075.41853,20537.17243,20942.67019,21878.99577,23006.38141,23639.21976,24814.66283,26756.30966,27979.14701,29442.20491,28358.50064,30027.29131
RUS,Russian Federation,Very High,,52,21447.82461,20289.24743,17177.25745,15713.39967,13825.24638,13206.55931,12659.25684,12768.81802,11865.19326,12709.26548,14185.34693,15178.08414,15886.59368,16926.01007,18366.39377,19541.54932,21083.29258,23081.19442,24119.89487,22201.95573,23185.28566,24157.0564,25053.79345,25335.32544,25127.72727,24770.75166,24798.29278,25233.84257,25977.61212,26317.80587,25837.99768,27166.30891
RWA,Rwanda,Low,SSA,165,933.391139,935.0494069,1047.102417,1027.242817,540.4053945,748.9323199,810.1339709,864.3728577,867.0798711,842.4310292,861.2165187,897.1061265,993.6105739,995.8613755,1054.856047,1138.241995,1215.385067,1281.577014,1383.597203,1432.018416,1495.115097,1574.15205,1660.330408,1690.7467,1739.974325,1853.475173,1897.461532,1913.034071,2014.357454,2153.695631,2051.532402,2209.795202
SAU,Saudi Arabia,Very High,AS,35,43005.69378,47014.58721,47054.21818,45530.86967,44036.64032,43542.21361,43112.36844,42725.99461,43524.14147,41207.54643,42183.11879,40741.54474,38447.68497,41423.5942,43532.22971,44734.86349,44807.12574,44629.10857,46324.43719,44059.17278,44723.27447,47852.01671,48932.66423,48894.56108,49392.35184,50124.98951,49681.68654,48041.17305,48123.7529,47494.88673,45232.21124,46111.55135
SDN,Sudan,Low,AS,172,2739.487825,2692.842422,2875.888179,3007.071449,3022.040639,3145.427422,3331.041474,3619.047132,3661.862569,3636.9448,3723.241744,3899.391968,4000.128818,4144.3843,4220.660327,4360.895883,4480.0832,4637.464794,4631.672141,4484.057654,4337.199423,4614.505527,4343.172226,4268.25179,4571.167508,4531.578287,4587.178842,4414.899983,4109.613994,3909.860336,3649.896356,3575.19084
SEN,Senegal,Low,SSA,170,2415.240337,2405.066686,2387.01929,2329.878562,2265.225887,2331.284584,2347.497221,2358.335999,2447.437641,2526.559328,2562.154223,2615.343919,2548.542269,2634.149348,2693.357587,2740.225894,2739.15752,2743.445388,2776.554724,2755.268538,2774.910198,2718.221423,2746.975976,2734.087862,2816.842477,2903.302557,2987.651416,3114.304101,3224.813134,3267.668238,3239.619854,3344.311825
SGP,Singapore,Very High,EAP,12,38095.46683,39286.23565,41252.48872,43538.8571,47886.23501,50023.77595,51357.29707,55395.50344,52405.62352,53905.48781,56701.65976,55399.3285,56424.75916,58230.20618,61011.49733,64409.6079,70154.75235,73600.93417,71106.89587,67385.68689,77934.22796,78864.11916,79913.62743,81673.93973,85475.09886,83968.19969,86277.83995,88088.26615,86502.02095,86601.44993,81035.0282,90918.64471
SLB,Solomon Islands,Medium,EAP,155,2237.204991,2283.471505,2508.407433,2602.00385,2749.69555,2911.143751,2890.534359,2775.110151,2739.057353,2599.184381,2230.038041,2018.288756,1868.543189,1962.889561,2071.188991,2128.405381,2122.134963,2103.208263,2124.015708,2126.024839,2314.734737,2366.379699,2407.934942,2600.292942,2522.648632,2472.041073,2512.015248,2610.761701,2663.242801,2631.841793,2540.652696,2481.511362
SLE,Sierra Leone,Low,SSA,181,1763.828519,1666.299127,1452.989273,1546.360188,1493.072967,1444.084462,1113.384922,926.0785907,879.1546318,806.2176803,819.1500021,932.6977502,1130.680555,1185.348383,1205.879906,1211.771121,1227.106268,1379.930856,1458.474648,1486.220976,1424.126763,1442.71507,1702.51524,1935.470065,1949.725129,1525.206701,1430.636491,1594.30889,1528.635626,1684.496721,1604.380084,1621.512579
SLV,El Salvador,Medium,LAC,125,5142.350799,5172.174624,5496.950396,5736.352952,5955.639848,6195.885277,6165.814936,6250.464489,6365.961908,6378.980593,6432.215581,6443.979106,6478.709785,6499.706918,6517.95534,6662.02182,6967.812746,7072.6786,7238.858093,6984.857474,7122.917511,7355.606685,7447.703934,7541.352768,7634.715924,7765.297992,7879.035883,7984.420771,8136.126957,8338.88639,7558.531908,8295.665889
SMR,San Marino,Very High,,44,52984.91521,53083.31198,52729.44043,56463.80666,59525.39316,64188.41043,66476.20068,68998.06219,72420.49944,76042.49354,75925.2464,78465.99366,79392.72059,82190.51878,84134.23685,83924.8326,86642.53886,89258.18951,87854.18234,73855.71679,71403.10317,63729.09125,53399.67319,54372.70707,53001.20328,49223.39698,49815.34772,54725.64938,54128.06922,55361.79834,50212.24688,52653.82534
SOM,Somalia,,AS,,1692.608057,1711.810079,1502.209501,1496.895985,1165.676387,1147.321236,1167.249532,1098.789152,1084.533288,1076.761185,1069.705689,1064.616682,1065.152427,1066.995839,1064.814433,1063.632772,1057.121975,1053.598114,1050.8997,1048.740358,1046.88335,1045.251694,1043.810247,1080.816124,1091.0514,1090.472563,1088.129753,1072.750752,1071.89966,1071.896076,1025.952583,1017.96785
SRB,Serbia,Very High,ECA,63,,,,,,7713.43885,8219.968913,8876.690522,9203.31905,8367.929742,8902.328556,9535.589827,10109.30992,10554.57106,11510.0216,12143.50189,12795.25716,13406.05174,14278.69302,14133.10377,14211.49905,14350.26508,14420.03479,14803.48419,14648.10775,14858.915,15294.10288,15538.46624,16565.63064,17314.26844,17665.40411,19123.02747
SSD,South Sudan,Low,SSA,191,,,,,,,,,,,,,,,,,,,2042.417616,2084.436605,2029.553038,2077.097,954.326,1194.569,1191.754,1154.533,970.485,888.762,845.39,827.107,750.108,767.787
STP,Sao Tome and Principe,Medium,SSA,138,2393.581054,2311.803654,2279.000265,2246.959374,2267.033213,2245.456491,2284.784927,2257.332133,2247.691185,2328.749849,2335.653393,2476.458487,2485.386354,2647.784342,2680.865152,2820.811031,3138.235757,3175.385281,3237.934892,3223.165702,3367.691641,3438.242283,3396.457512,3589.006034,3782.090586,3782.264172,3889.557475,3941.369046,3994.124777,3991.279901,4039.79188,4021.350815
SUR,Suriname,High,LAC,99,11854.23813,12264.19057,11490.59154,9688.797826,11095.19158,10875.4349,11016.17893,11241.08031,11539.79191,11076.84792,11140.97431,10541.05219,11785.74762,12391.6374,13240.97796,13808.28568,14398.46779,15307.37616,15808.1554,16025.8166,16233.1203,16365.28625,16988.56216,17533.28437,17606.3111,18218.41659,17234.12239,16278.15956,17181.47199,17226.5384,13291.54848,12672.20033
SVK,Slovakia,Very High,,45,16449.04038,13948.28593,12981.88607,13067.01009,13844.34136,14874.36928,15459.12883,16438.94358,16921.63925,16699.6645,17209.8615,17773.24735,18527.94529,18631.45917,19792.48061,21390.48591,22887.13351,25119.49162,26434.84582,25056.60008,26036.87643,26028.31272,26525.60546,26771.66693,27334.58386,28268.82624,28602.60814,29516.49964,30556.82948,31112.82476,29801.09302,30690.48552
SVN,Slovenia,Very High,,23,,,,,,21628.6315,22442.40042,23584.38018,24517.01511,25897.50704,26271.72503,27365.30785,28341.71764,29204.56178,30161.92994,30998.99525,32458.57806,34389.28972,35136.15927,33153.64189,32747.03725,32656.29801,31428.41024,31285.91288,32490.85685,32738.32843,34095.07338,35849.55565,37411.31252,38439.64415,36992.83331,39746.01987
SWE,Sweden,Very High,,7,35365.03368,34566.50857,33487.79389,31997.51128,33639.80999,35285.56352,35613.37029,36577.97102,38238.58961,40152.31944,41831.0426,42103.19707,42543.37441,43792.03551,44791.05157,45959.84488,48497.11531,50283.061,49840.872,46941.0893,49372.47949,50027.63039,49432.59605,49541.43776,50311.7708,51490.20301,51813.28127,52849.39299,53050.91638,54222.71686,52359.21296,54489.37401
SWZ,Eswatini (Kingdom of),Medium,SSA,144,5374.793585,5362.278284,5419.635968,5310.940589,5079.503328,5524.63136,5789.86491,5859.594782,5673.956599,5853.084505,5706.834207,5990.859863,5838.861655,5906.700078,6232.241642,6964.378548,6960.011648,7278.330002,7188.302522,7105.764438,7101.517382,7139.315816,7430.895634,7844.002634,7857.950772,7991.697489,7872.750167,7844.499338,7913.629038,7744.536132,7524.004894,7678.591873
SYC,Seychelles,High,SSA,72,14257.99389,14576.98476,15634.95973,16215.97581,15919.05551,15022.49782,15688.25336,17513.9897,18324.82066,18209.42936,18225.26954,18228.44008,16537.72143,16334.60332,17267.48742,18489.48593,20039.09556,20142.90475,19303.36403,18457.00091,20108.74922,20821.04164,22260.9096,23169.25013,23452.55824,24084.57792,24513.60635,25224.47069,25788.59798,26084.29819,24132.79487,25830.61775
SYR,Syrian Arab Republic,Medium,AS,150,4198.494437,4389.608775,4861.512338,4984.044983,5413.231091,5636.29335,5889.998428,6150.056701,6253.131652,5889.607304,5704.740698,5827.165369,6164.57323,6111.65772,6408.886882,6555.635985,6751.475662,6915.774881,6922.581491,7164.146815,7324.896049,13285.59444,8656.545671,5408.278142,4515.284252,4782.924318,4856.603798,5024.754555,5136.014235,4914.297286,4215.381839,4191.933893
TCD,Chad,Low,SSA,190,988.5076021,1051.395878,1103.940439,867.9260941,951.4394897,935.1205235,920.9766757,935.5019207,978.0315451,936.4346391,882.450309,947.718359,968.8621487,880.7439838,1286.895983,1366.252218,1240.217809,1347.138825,1302.558192,1505.734574,1669.431478,1628.403869,1716.422671,1713.528531,1778.178957,1803.785358,1656.383789,1566.261072,1553.131495,1555.372994,1420.670363,1364.169417
TGO,Togo,Low,SSA,162,1751.791508,1699.800453,1602.241461,1328.883756,1449.711643,1551.64435,1664.468392,1847.826779,1751.716825,1722.5777,1665.865094,1633.556757,1664.154151,1734.049646,1667.270897,1549.847877,1549.220448,1496.630684,1525.81517,1565.520809,1614.935947,1777.81732,1749.418448,1815.490768,1880.964747,1981.773879,1991.088196,2013.813455,2066.946841,2128.4148,2112.526748,2166.619062
THA,Thailand,Very High,EAP,66,6907.889992,7394.923747,7971.357491,8598.577147,9191.86102,9824.277761,10203.84775,9759.635624,8823.728699,9198.867322,9616.209306,9772.652724,10211.68508,10799.9246,11369.88638,11752.65579,12360.60169,13001.9766,13123.79994,12986.90502,13795.84373,14101.94778,14717.81103,14759.55225,15038.44001,15445.28656,15993.77762,16642.45037,17218.95408,17773.65504,16803.76572,17030.15352
TJK,Tajikistan,Medium,ECA,122,5229.309607,4802.050701,3326.931579,2700.926343,2057.050254,1752.612656,1386.771436,1460.672522,1516.179235,1545.093291,1604.246502,1707.388889,1802.689668,2036.008091,2340.051909,2423.795588,2677.912005,2756.08993,3175.501132,2779.985128,2961.621117,2837.980273,3092.748608,3613.099203,3532.37459,3479.011645,3542.610803,3728.067416,3953.31425,4155.953121,4244.329789,4547.742427
TKM,Turkmenistan,High,ECA,91,10673.69611,9900.154534,8179.417471,8072.451783,6694.977104,5905.47537,6182.508416,5540.031985,5730.032825,6499.897143,6496.731096,6989.00842,6773.087816,7028.017923,7285.568256,7701.550607,8525.197608,9671.032392,10668.24071,11059.94872,12185.29259,13434.76844,14100.61964,14022.45768,14348.73275,14808.95608,14351.65759,13615.49576,14804.54893,13227.7665,12595.1235,13020.7155
TLS,Timor-Leste,Medium,EAP,140,2822.874942,3037.49405,3278.148333,3529.157525,3591.068849,3848.279048,4162.493554,4405.464066,4218.63418,2057.913246,3076.594165,3395.503646,3703.94173,3042.313789,3296.006256,3901.885426,5418.482855,7198.97098,10461.42314,8149.907407,9695.40749,11658.06795,10104.64368,8860.258391,7134.672228,5744.778703,4516.076144,4500.640588,4393.034285,4865.012069,4785.848969,4460.869435
TON,Tonga,High,EAP,91,4535.219426,4779.933042,4754.482918,4906.378716,5331.259435,5328.356731,5342.561139,5294.495852,5486.404959,5539.615663,5610.106976,5612.256069,5919.305107,5806.25193,5693.384819,5561.841643,5505.705101,5311.430437,5527.20572,5288.567375,5332.265468,5699.446117,5795.075725,5843.639792,5900.359576,6002.930747,6343.509777,6723.664971,6790.395096,6903.445994,6861.643049,6822.03125
TTO,Trinidad and Tobago,Very High,LAC,57,10497.63719,10649.47368,10420.72124,10300.6617,10468.88734,10801.6479,11548.07879,12703.82988,13903.94721,14958.86422,15643.28331,16521.25119,17901.96486,20236.02008,22429.82542,23278.47647,26206.36859,26458.12469,26585.5194,26620.88515,27481.11974,25456.22639,26253.28163,27593.19075,27041.19649,28684.3759,26827.84272,26543.37527,25315.95987,25722.49253,23748.77675,23392.02084
TUN,Tunisia,High,AS,97,5655.51495,5707.121006,5999.871306,5931.990746,6033.027276,6110.871786,6417.676801,6727.51802,6987.206164,7334.055884,7576.227888,7788.470418,7829.054562,8160.127331,8592.305927,8735.378169,9152.383855,9624.778572,9902.639208,10145.01319,10309.12234,10050.71988,10392.25355,10480.33431,10750.96464,10793.65064,10821.75244,10906.88715,11027.26702,10910.37099,10046.07161,10257.54477
TUR,TÃ¼rkiye,Very High,ECA,48,13000.46723,12853.99247,13435.52932,14262.03538,13234.29213,14057.79503,14835.20939,15784.71553,16104.2375,15110.37857,15828.2357,14416.62894,15090.04263,15664.58718,16974.95537,18195.9431,19214.58882,19875.82025,19759.90911,18541.48282,19908.96467,21780.12349,22475.58784,23937.16912,24762.23574,25766.03064,26159.38035,27553.33891,28148.5516,27984.86307,28317.43532,31032.80106
TUV,Tuvalu,Medium,EAP,130,3197.71048,3271.029222,3345.256001,3445.855143,3762.99585,3540.836324,3335.606028,3620.024447,4193.768758,4111.556067,4069.942398,4687.10837,5543.670165,4021.790569,4294.324494,4095.815257,4068.23182,4088.936472,4377.878049,4059.970187,3988.288064,3921.238902,4361.456216,4613.221665,4377.057348,5298.985449,5853.327793,5573.284065,6462.950541,5693.627717,6218.763904,6351.435899
TZA,Tanzania (United Republic of),Low,SSA,160,1343.355022,1332.109001,1292.79506,1268.44768,1252.185506,1267.981138,1305.859912,1313.230569,1338.682716,1371.267934,1396.408325,1423.040536,1508.033819,1555.386661,1624.165451,1687.238249,1779.566349,1825.824479,1879.383305,1924.128556,1971.979768,2060.728598,2099.059624,2172.728288,2248.082321,2310.042875,2387.090895,2472.985897,2555.427577,2693.535151,2615.736839,2664.329096
UGA,Uganda,Low,SSA,166,897.0248379,916.1925994,905.1111706,962.7648601,992.0634456,1077.964235,1144.642376,1174.535886,1198.845417,1256.724765,1239.390367,1247.742473,1327.539467,1370.540385,1409.057071,1448.236618,1561.532585,1649.249463,1739.344576,1802.649977,1843.349609,1955.942554,1955.886259,1959.62118,1988.490664,2028.218794,2051.754604,2025.816431,2064.075583,2124.933537,2138.005821,2181.43651
UKR,Ukraine,High,ECA,77,16779.60025,15250.3303,13428.01374,11302.57843,8865.405669,7831.555788,7106.451536,6954.604481,6837.21638,6842.411129,7100.424621,7902.808794,8408.250902,9293.322703,10487.58975,10857.5854,11674.10072,12768.99435,13015.59578,11099.32517,11795.40101,12320.17058,12839.41011,12824.77342,12237.29245,11671.55321,11649.48105,12032.75473,12455.66945,12964.43614,12718.46051,13255.50977
